Episode #,Song Questions + Snack Time Game,Air Date,Month,Year
153,Got7 - Girls Girls Girls,"March 27, 2021",March,2021
153,Dal Shabet - B.B.B (Big Baby Baby),"March 27, 2021",March,2021
154,Beenzino - Break,"April 3, 2021",April,2021
154,Hyun-i & Deok-i - Wait A Minute,"April 3, 2021",April,2021
155,H.O.T. - Warrior's Descendant,"April 10, 2021",April,2021
155,Apink - Drummer Boy,"April 10, 2021",April,2021
156,Buzz - Love Comes From the Heart,"April 17, 2021",April,2021
156,Mamamoo - Dingga,"April 17, 2021",April,2021
157,IU - Coin,"April 24, 2021",April,2021
157,Brave Girls - We Ride,"April 24, 2021",April,2021
158,APOKI - Get It Out,"May 1, 2021",May,2021
158,V.O.S - Cry,"May 1, 2021",May,2021
159,BTS - Save ME,"May 8, 2021",May,2021
159,Monsta X - Shoot Out,"May 8, 2021",May,2021
160,Uhm Jung-hwa - Poison,"May 15, 2021",May,2021
160,Nine Muses A - Lip 2 Lip,"May 15, 2021",May,2021
161,g.o.d - With Little Man,"May 22, 2021",May,2021
161,Hwasa (Mamamoo) - Kidding,"May 22, 2021",May,2021
162,Gaeko (Dynamic Duo) - Rhythm Is Life (Feeling So Good),"May 29, 2021",May,2021
162,ONF - Yayaya,"May 29, 2021",May,2021
163,Sharp - Lying,"June 5, 2021",June,2021
163,K.Will (feat. Beenzino) - Bon Voyage,"June 5, 2021",June,2021
164,Lee Hyo-ri - Straight Up,"June 12, 2021",June,2021
164,GFriend - Mermaid,"June 12, 2021",June,2021
165,Zico (Block B) - No You Can't,"June 19, 2021",June,2021
165,T-ara - So Crazy,"June 19, 2021",June,2021
166,Monsta X - Trespass,"June 26, 2021",June,2021
166,Oh My Girl - NE♡N,"June 26, 2021",June,2021
167,Seventeen - Run To You,"July 3, 2021",July,2021
167,Lovelyz - Dream in a Dream,"July 3, 2021",July,2021
168,G-Dragon (Big Bang) - One of a Kind,"July 10, 2021",July,2021
168,Day6 - Ouch,"July 10, 2021",July,2021
169,Turbo - Napoleon,"July 17, 2021",July,2021
169,WJSN - Happy,"July 17, 2021",July,2021
170,Lee So-ra - Let Love Stop,"July 24, 2021",July,2021
170,Golden Child - DamDaDi,"July 24, 2021",July,2021
171,Cool - I Want Love,"July 31, 2021",July,2021
172,Orange Caramel - Abing Abing,"August 7, 2021",August,2021
173,Kim Hyun-jung - Don't You Follow Me,"August 14, 2021",August,2021
173,"Uhm Jung-hwa (feat. Hwasa, DPR Live) - Hop In","August 14, 2021",August,2021
174,Im Chang-jung - Change of Heart,"August 21, 2021",August,2021
174,AKMU - Chocolady,"August 21, 2021",August,2021
175,Sumi Jo + Rain - Guardians,"August 28, 2021",August,2021
175,Nemesis - Rose of Versailles,"August 28, 2021",August,2021
176,Brown Eyed Girls (feat. Uhm Jung-hwa) - Invitation,"September 4, 2021",September,2021
176,Super Junior-D&E - Danger,"September 4, 2021",September,2021
177,"Epik High (feat. Taru) - 1 Minute, 1 Second","September 11, 2021",September,2021
177,TXT - What If I Had Been That Puma,"September 11, 2021",September,2021
178,Lee Jung-hyun - Eat Well Live Well...,"September 18, 2021",September,2021
178,Zico (Block B) (feat. Bibi) - Love & Hate,"September 18, 2021",September,2021
179,BTS - Telepathy,"September 25, 2021",September,2021
179,"Turbo (feat. Lee Ha-neul, Jinu & Lee Sang-min) - Top 10 Songs","September 25, 2021",September,2021
180,Jessi - Star,"October 2, 2021",October,2021
180,Electron Sheep - Sugar Man,"October 2, 2021",October,2021
181,S.E.S. - Twilight Zone,"October 9, 2021",October,2021
181,Seventeen - GAM3 BO1,"October 9, 2021",October,2021
182,J.ae (feat. Humming Urban Stereo) - Toast,"October 16, 2021",October,2021
182,The 5 Emperors - Wonderful Barn,"October 16, 2021",October,2021
183,Taesaja - The Way,"October 23, 2021",October,2021
183,CL - +HWA+,"October 23, 2021",October,2021
184,SHINee - Love Still Goes On,"October 30, 2021",October,2021
184,Itzy - Loco,"October 30, 2021",October,2021
185,Winner - Just Dance,"November 6, 2021",November,2021
186,Ha Ji-won - Two-Time,"November 13, 2021",November,2021
186,Little Mix - Wings (Korean Ver.),"November 13, 2021",November,2021
187,"Simon Dominic (feat. Loopy, Crush) - Make Her Dance","November 20, 2021",November,2021
187,Twice - Rollin',"November 20, 2021",November,2021
188,Red Velvet - Pose,"November 27, 2021",November,2021
188,"Lee Young-ji (feat. Woo Won-jae, Changmo, & The Quiett) - Go High","November 27, 2021",November,2021
189,Crying Nut - Funny Song,"December 4, 2021",December,2021
189,Park Moon-chi - MBTI,"December 4, 2021",December,2021
190,Sharp - Yes,"December 11, 2021",December,2021
190,WJSN - Mr. Badboy,"December 11, 2021",December,2021
191,Kim Jin-pyo (feat. Kim Jin-ho (SG Wannabe)) - Romantic Winter,"December 18, 2021",December,2021
191,EXID - DDD,"December 18, 2021",December,2021
192,Turbo - White Love,"December 25, 2021",December,2021
192,Apink - It Girl,"December 25, 2021",December,2021
193,Goofy - Everything Will Be Fine,"January 1, 2022",January,2022
193,"OLNL (feat. Yunhway, Giriboy) - ZERO%","January 1, 2022",January,2022
194,Sistar (feat. Giriboy) - Don't Be Such A Baby,"January 8, 2022",January,2022
194,AKMU - Re-Bye,"January 8, 2022",January,2022
195,Paul Kim - Begin Again,"January 15, 2022",January,2022
195,No Brain (feat. Tiger JK) - You Have a Crush on Me,"January 15, 2022",January,2022
196,Day6 - Blood,"January 22, 2022",January,2022
196,"Djamilya Abdullaeva - Hate You, Honey","January 22, 2022",January,2022
197,Tae Jin-ah (feat. Rain) - La Song,"January 29, 2022",January,2022
198,Rain - Gang,"February 5, 2022",February,2022
198,Celeb Five - I Wish I Could Unsee That (Rock Ver.),"February 5, 2022",February,2022
199,Wonder Girls - G.N.O.,"February 12, 2022",February,2022
199,Shim Eun-jin - Oopsy,"February 12, 2022",February,2022
200,Oh My Girl (feat. Skull & Haha) - Listen to My Word (A-ing),"February 19, 2022",February,2022
201,Super Junior - Spy,"February 26, 2022",February,2022
201,Girl's Day - Top Girl,"February 26, 2022",February,2022
202,Orange Caramel - Funny Hunny,"March 5, 2022",March,2022
202,Jang Beom-june - I Will Make You Happy,"March 5, 2022",March,2022
203,Solid - Like Likes Like,"March 12, 2022",March,2022
203,Park Mi-kyung - Adam's Mind,"March 12, 2022",March,2022
204,"Giriboy, Kid Milli, NO:EL, Swings - Flex","March 19, 2022",March,2022
204,Baechigi - Turn a Deaf Ear,"March 19, 2022",March,2022
205,Eru (feat. Ailee) - Highlight,"March 26, 2022",March,2022
205,2PM (feat. Yoon Eun-hye) - Tik Tok,"March 26, 2022",March,2022
206,Diva - That’s What Happen When In Love,"April 2, 2022",April,2022
206,Sung Si-kyung - I Love U,"April 2, 2022",April,2022
207,Kim Won-jun - Bravo My Youth,"April 9, 2022",April,2022
208,Lee Chan-hyuk (AKMU) - Marine Triumph,"April 16, 2022",April,2022
208,Pentagon - Very Good (Pentagon ver.),"April 16, 2022",April,2022
209,Turbo - Forbidden Game,"April 23, 2022",April,2022
209,(G)I-dle - My Bag,"April 23, 2022",April,2022
210,Black Beat - Wing,"April 30, 2022",April,2022
210,Stella Jang (feat. Olltii) - Cheerleader,"April 30, 2022",April,2022
211,Hyun Young - Draw Out,"May 7, 2022",May,2022
211,Yoon Jong-shin - The Lobster,"May 7, 2022",May,2022
212,Baby V.O.X - To Men,"May 14, 2022",May,2022
212,Day6 - Dance Dance,"May 14, 2022",May,2022
213,Taesaja - Crunch,"May 21, 2022",May,2022
213,Lovelyz - Memories,"May 21, 2022",May,2022
214,H.O.T. - Delight,"May 28, 2022",May,2022
214,Jaejoo Boys (feat. Hockee) - Secret Boy,"May 28, 2022",May,2022
215,Oh My Girl - Guerilla,"June 4, 2022",June,2022
215,Fin.K.L - Disregard,"June 4, 2022",June,2022
216,Jannabi - Surprise!,"June 11, 2022",June,2022
216,Shinhwa - Sharing Forever,"June 11, 2022",June,2022
217,"Gavengers - You Laugh, You're Lucky Yo!","June 18, 2022",June,2022
217,Kim Se-jeong - Do Dum Chit,"June 18, 2022",June,2022
218,Hyolyn - Bae,"June 25, 2022",June,2022
218,f(x) - Vacance,"June 25, 2022",June,2022
219,Hyuna - Babe,"July 2, 2022",July,2022
219,Park Hyo-shin (feat. As One) - Feel... Me.!,"July 2, 2022",July,2022
220,AKMU (with Beenzino) - Tictoc Tictoc Tictoc,"July 9, 2022",July,2022
220,Changmo - Wish,"July 9, 2022",July,2022
221,Wonder Girls (feat. San E) - Act Cool,"July 16, 2022",July,2022
221,Billlie - GingaMingaYo (the strange world),"July 16, 2022",July,2022
222,T.J - Hey Girl,"July 23, 2022",July,2022
222,sogumm - So Fast,"July 23, 2022",July,2022
223,(G)I-dle - Dumdi Dumdi,"July 30, 2022",July,2022
225,g.o.d - 21C Our Hope,"August 13, 2022",August,2022
225,Viviz - Bop Bop!,"August 13, 2022",August,2022
226,"Pengsoo (feat. Tiger JK, Bizzy, Bibi) - This Is Pengsoo","August 20, 2022",August,2022
226,Monsta X - Livin' It Up (Korean ver.),"August 20, 2022",August,2022
227,Psy - Bird,"August 27, 2022",August,2022
227,Jay Park - Bite,"August 27, 2022",August,2022
228,SG Wannabe - Crime and Punishment Part II,"September 3, 2022",September,2022
228,Super Junior - Mr. Simple,"September 3, 2022",September,2022
229,BTS - Where You From,"September 10, 2022",September,2022
229,BTS - Where You From,"September 10, 2022",September,2022
230,Kim Wan-sun - That's You,"September 17, 2022",September,2022
230,Oh My Girl - Liar Liar,"September 17, 2022",September,2022
231,Zico (Block B) - Seoul Drift,"September 24, 2022",September,2022
231,Lee Seung-hwan - I Am,"September 24, 2022",September,2022
232,Chakra - Come A Come,"October 1, 2022",October,2022
232,T-ara - Number 9,"October 1, 2022",October,2022
233,Wendy (Red Velvet) - If I Could Read Your Mind,"October 8, 2022",October,2022
233,"Jamie (feat. Kino (Pentagon), Woodz, Nathan) - PUTP","October 8, 2022",October,2022
234,Girl's Day - Thirsty,"October 15, 2022",October,2022
234,NCT 127 - Fire Truck,"October 15, 2022",October,2022
235,Simon Dominic - Party Forever,"October 22, 2022",October,2022
235,Cherry Filter - Madonna of Combat,"October 22, 2022",October,2022
236,Psy (feat. Suga (BTS)) - That That,"October 29, 2022",October,2022
236,Be'O - LOVE me,"October 29, 2022",October,2022
237,Key (SHINee) - Delight,"November 12, 2022",November,2022
237,Lee Mu-jin - Astronaut,"November 12, 2022",November,2022
238,X4 - Present,"November 19, 2022",November,2022
238,Lee Young-ji (feat. Jay Park) - Day & Night,"November 19, 2022",November,2022
239,Peppertones - Tangerine,"November 26, 2022",November,2022
239,Park Hyo-shin (feat. Kim Bum-soo) - Just Friends,"November 26, 2022",November,2022
240,Moogadang - Unstoppable High Kick,"December 3, 2022",December,2022
240,Implanted Kid - Soldier's DM,"December 3, 2022",December,2022
241,Girls' Generation-TTS - OMG,"December 10, 2022",December,2022
241,Hwayobi - Don't Take My Call,"December 10, 2022",December,2022
242,Blackpink - Kill This Love,"December 17, 2022",December,2022
242,Day6 - So Cool,"December 17, 2022",December,2022
243,Stray Kids - Christmas EveL,"December 24, 2022",December,2022
243,Younha - Oort Cloud,"December 24, 2022",December,2022
246,Seventeen BSS - Just Do It,"January 14, 2023",January,2023
246,Lim Jeong-hee (feat. Hyuna) - Golden Lady,"January 14, 2023",January,2023
247,Pentagon - Sha La La,"January 21, 2023",January,2023
247,Davichi (feat. Baek Chan) - Don't Leave,"January 21, 2023",January,2023
248,Solar (Mamamoo) - Honey,"January 28, 2023",January,2023
248,Rain - Superman,"January 28, 2023",January,2023
249,Sharp - My Lips... Like Warm Coffee,"February 4, 2023",February,2023
249,WJSN - As You Wish,"February 4, 2023",February,2023
250,Hamohamo - Papillon,"February 11, 2023",February,2023
250,Kai (EXO) - Reason,"February 11, 2023",February,2023
251,Taeyang (Big Bang) (feat. Jimin (BTS)) - Vibe,"February 18, 2023",February,2023
251,Kara - Burn,"February 18, 2023",February,2023
252,T.J - Hyuk's Love Story,"February 25, 2023",February,2023
252,Onewe - Love Me,"February 25, 2023",February,2023
253,Hiroki & Tanaka - Cool,"March 4, 2023",March,2023
253,Monsta X - Hero,"March 4, 2023",March,2023
254,Blackpink - Forever Young,"March 11, 2023",March,2023
254,Seventeen BSS (feat. Lee Young-ji) - Fighting,"March 11, 2023",March,2023
255,1TYM - Do You Know Me?,"March 18, 2023",March,2023
255,"MC Jooji (feat. Chin Chilla, Jiselle) - Swag","March 18, 2023",March,2023
256,Winner - Dress Up,"March 25, 2023",March,2023
256,Goofy - Sleeping Child of Winter,"March 25, 2023",March,2023
257,G-Dragon (Big Bang) (feat. Flo Rida) - Heartbreaker,"April 1, 2023",April,2023
257,Diva - Lust In The Wind,"April 1, 2023",April,2023
259,Park Ji-yoon - Steal Away,"April 15, 2023",April,2023
259,BESTie - Pit-a-pat,"April 15, 2023",April,2023
260,g.o.d - I Don't Know About Love,"April 22, 2023",April,2023
260,Nmixx - Love Me Like This,"April 22, 2023",April,2023
262,Cool - Waiting,"May 6, 2023",May,2023
262,Defconn (feat. Minah (Girl's Day)) - Rapper's Breakup Part 2,"May 6, 2023",May,2023
263,K.Will (feat. Choiza (Dynamic Duo)) - Hey You,"May 13, 2023",May,2023
263,"Seventeen, Ailee - Q&A","May 13, 2023",May,2023
264,Super Junior - Sorry Sorry - Answer,"May 20, 2023",May,2023
264,NRG - Making Love,"May 20, 2023",May,2023
265,"Soyeon ((G)I-dle) (feat. Bibi, Lee Young-ji) - Is This Bad B****** Number?","May 27, 2023",May,2023
265,Stray Kids - Get Cool,"May 27, 2023",May,2023
266,Clon - I,"June 3, 2023",June,2023
266,Chungha - Bad Boy,"June 3, 2023",June,2023
267,Yang Dong-geun (feat. Tiger JK) - Run,"June 10, 2023",June,2023
267,Min Hae-kyung - I Got to See You Again,"June 10, 2023",June,2023
268,Girls' Generation-TTS - Checkmate,"June 17, 2023",June,2023
268,S.E.S. - Rock'N Country,"June 17, 2023",June,2023
269,"Girl's Day - Oh, Great!","June 24, 2023",June,2023
269,B1A4 - What's Happening?,"June 24, 2023",June,2023
270,G-Dragon (Big Bang) (feat. Missy Elliott) - Niliria,"July 1, 2023",July,2023
270,Seventeen - Hot,"July 1, 2023",July,2023
271,ONF - Trip Advisor,"July 8, 2023",July,2023
271,Super Junior-T - Don't Go Away,"July 8, 2023",July,2023
272,BTS - Friends,"July 15, 2023",July,2023
273,Suh Soo-nam & Ha Chung-il - A Stingy Life,"July 22, 2023",July,2023
273,Paul Kim (feat. Big Naughty) - Hangang,"July 22, 2023",July,2023
274,EXID - Up & Down,"July 29, 2023",July,2023
274,Jamie (feat. Changmo) - Numbers,"July 29, 2023",July,2023
275,T-ara - Yayaya,"August 5, 2023",August,2023
275,Bewhy - Incheon Airport Freestyle,"August 5, 2023",August,2023
276,Co-Ed School - Bbiribbom Bberibbom,"August 12, 2023",August,2023
276,Kim Won-jun - Every Day,"August 12, 2023",August,2023
277,Ive - Lips,"August 19, 2023",August,2023
277,Dal Shabet - Someone Like U,"August 19, 2023",August,2023
278,Nuclear - Tell Me What You Want,"August 26, 2023",August,2023
278,Meenoi - Dool,"August 26, 2023",August,2023
279,Space A - Sexy Man,"September 2, 2023",September,2023
279,Dynamic Duo (feat. Penomeco) - MSG,"September 2, 2023",September,2023
280,Turbo - My Diary,"September 9, 2023",September,2023
280,IU (feat. G-Dragon) - Palette,"September 9, 2023",September,2023
281,CL - The Seaweed Sway,"September 16, 2023",September,2023
281,Ryang Hyun Ryang Ha - Popcorn Love!,"September 16, 2023",September,2023
282,AKMU - Love Lee,"September 23, 2023",September,2023
282,YB (feat. Drunken Tiger) - Peppermint Candy 2,"September 23, 2023",September,2023
283,Pearl - I Saw It,"September 30, 2023",September,2023
283,Kara - Pandora,"September 30, 2023",September,2023
284,"Dynamic Duo, Lee Young-ji - Smoke","October 7, 2023",October,2023
284,Lee Seung-hwan - Dating Expert,"October 7, 2023",October,2023
285,BTS - Make It Right,"October 14, 2023",October,2023
286,Hwasa (Mamamoo) - I Love My Body,"October 21, 2023",October,2023
286,Winner - I Love U,"October 21, 2023",October,2023
287,Kim Se-jeong - Jenga,"October 28, 2023",October,2023
287,Seen Hyun-hee - Mishmash,"October 28, 2023",October,2023
288,Jessi - Cold Blooded,"November 4, 2023",November,2023
288,AKMU - Freedom,"November 4, 2023",November,2023
289,Zico (Block B) (feat. Penomeco) - Another Level,"November 11, 2023",November,2023
289,Shindosi Power - Straight Outta Newtown,"November 11, 2023",November,2023
290,NewJeans - Zero,"November 18, 2023",November,2023
290,Taeyong (NCT) - Shalala,"November 18, 2023",November,2023
291,Heize - Vingle Vingle,"November 25, 2023",November,2023
291,OLNL (feat. Kid Milli) - Bluetooth,"November 25, 2023",November,2023
292,Seventeen - God of Music,"December 2, 2023",December,2023
292,Jeon Somi - Dumb Dumb,"December 2, 2023",December,2023
293,Gwana - 100 Ramyeon That Filled Our Stomachs,"December 9, 2023",December,2023
293,Kang Ho-dong (feat. Jung Eun-ji (Apink)) - One Minute Ago,"December 9, 2023",December,2023
294,Taemin (Shinee) - Guilty,"December 16, 2023",December,2023
294,Lee Jung-hyun - Crazy,"December 16, 2023",December,2023
295,Jannabi (feat. Lee Su-hyun (AKMU)) - Made In Christmas,"December 23, 2023",December,2023
295,Super Junior - Celebrate,"December 23, 2023",December,2023
296,Uptown - Ola Ola,"December 30, 2023",December,2023
296,Koyote - Bing Bing,"December 30, 2023",December,2023
297,Space A - Lips,"January 6, 2024",January,2024
297,Stray Kids - Lalalala,"January 6, 2024",January,2024
298,Zion.T - Not For Sale,"January 13, 2024",January,2024
298,Young Turks Club - White War,"January 13, 2024",January,2024
299,IU - Shoes,"January 27, 2024",January,2024
299,BtoB - Hello,"January 27, 2024",January,2024
301,Lee Chan-hyuk (AKMU) - 1 Trillion,"February 10, 2024",February,2024
301,Young Tak - Form,"February 10, 2024",February,2024
302,2PM - Space Maja,"February 17, 2024",February,2024
302,Navi (feat. Hyuna) - Wasteful Tears,"February 17, 2024",February,2024
303,"GroovyRoom (feat. Huh Yun-jin (Le Sserafim), Crush) - Yes or No","February 24, 2024",February,2024
303,Nmixx - Soñar (Breaker),"February 24, 2024",February,2024
304,Park Hyo-shin - Comfort,"March 2, 2024",March,2024
304,Bada - Dance Mission,"March 2, 2024",March,2024
305,(G)I-dle - Allergy,"March 9, 2024",March,2024
305,Jeon Somi - Fxxked Up,"March 9, 2024",March,2024
306,Tiger JK - Mantra,"March 16, 2024",March,2024
306,Lee Hyo-ri - Anyclub,"March 16, 2024",March,2024
307,ZE:A - Variety of Ways,"March 23, 2024",March,2024
307,Cherry Filter - Supermarket,"March 23, 2024",March,2024
308,JuJu Club - Essay Love,"March 30, 2024",March,2024
308,Beenzino (feat. Cautious Clay) - Travel Again,"March 30, 2024",March,2024
